Date,Account,Category,Subcategory,Note,NRS,Income/Expense,Note,Amount,Currency,Account
11/30/2021 14:17,CUB - online payment,Food,,Lunch with company,128,Expense,,128,NRS,128
11/30/2021 10:11,CUB - online payment,Food,,Breakfast,70,Expense,,70,NRS,70
11/29/2021 20:47,CUB - online payment,Food,,Lunch with company,40,Expense,,40,NRS,40
11/29/2021 20:47,CUB - online payment,Food,,Dinner,50,Expense,,50,NRS,50
11/29/2021 20:09,CUB - online payment,Food,,Panipoori,40,Expense,,40,NRS,40
11/29/2021 9:29,CUB - online payment,Food,,Breakfast,40,Expense,,40,NRS,40
11/28/2021 19:59,CUB - online payment,Food,,Snack,94,Expense,,94,NRS,94
11/28/2021 13:10,CUB - online payment,Food,,Zomato,269.4,Expense,,269.4,NRS,269.4
11/27/2021 23:14,CUB - online payment,Food,,Dinner with gowdham,120,Expense,,120,NRS,120
11/27/2021 22:34,CUB - online payment,Food,,Dinner with gowdham,130,Expense,,130,NRS,130
11/27/2021 18:41,CUB - online payment,Transportation,,Rapido,35,Expense,,35,NRS,35
11/27/2021 13:46,CUB - online payment,Food,,Lunch with company,75,Expense,,75,NRS,75
11/27/2021 13:46,CUB - online payment,Allowance,,From dad,2000,Income,,2000,NRS,2000
11/27/2021 9:33,CUB - online payment,Food,,Breakfast,30,Expense,,30,NRS,30
11/26/2021 21:56,CUB - online payment,Food,,Beer,150,Expense,,150,NRS,150
11/26/2021 20:57,CUB - online payment,Food,,Snack,102,Expense,,102,NRS,102
11/26/2021 20:15,CUB - online payment,Food,,Panipoori,40,Expense,,40,NRS,40
11/26/2021 14:14,CUB - online payment,Petty cash,,Cashback,3,Income,,3,NRS,3
11/26/2021 14:14,CUB - online payment,Food,,Lunch with company,150,Expense,,150,NRS,150
11/26/2021 9:22,CUB - online payment,Food,,Breakfast,60,Expense,,60,NRS,60
11/25/2021 20:27,CUB - online payment,Food,,Lunch with company,145,Expense,,145,NRS,145
11/25/2021 20:27,CUB - online payment,Transportation,,Rapido,58,Expense,,58,NRS,58
11/25/2021 20:27,CUB - online payment,Food,,Dinner,95,Expense,,95,NRS,95
